Done; will start GCs... 
[276.447s][info][gc,metaspace] GC(105) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[276.448s][info][gc          ] GC(105) Pause Full (System.gc()) 171M->171M(4088M) 2656.098ms
[277.778s][info][gc,metaspace] GC(106) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[277.778s][info][gc          ] GC(106) Pause Full (System.gc()) 171M->171M(4088M) 1329.890ms
[279.553s][info][gc,metaspace] GC(107) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[279.553s][info][gc          ] GC(107) Pause Full (System.gc()) 171M->171M(4088M) 1775.112ms
[281.739s][info][gc,metaspace] GC(108) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[281.739s][info][gc          ] GC(108) Pause Full (System.gc()) 171M->171M(4088M) 2185.552ms
[283.111s][info][gc,metaspace] GC(109) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[283.111s][info][gc          ] GC(109) Pause Full (System.gc()) 171M->171M(4088M) 1371.748ms
[284.491s][info][gc,metaspace] GC(110) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[284.491s][info][gc          ] GC(110) Pause Full (System.gc()) 171M->171M(4088M) 1379.380ms
[285.839s][info][gc,metaspace] GC(111) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[285.839s][info][gc          ] GC(111) Pause Full (System.gc()) 171M->171M(4088M) 1347.830ms
[288.475s][info][gc,metaspace] GC(112) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[288.475s][info][gc          ] GC(112) Pause Full (System.gc()) 171M->171M(4088M) 2635.955ms
[289.831s][info][gc,metaspace] GC(113) Metaspace: 43059K(46656K)->43059K(46656K) NonClass: 36457K(38016K)->36457K(38016K) Class: 6602K(8640K)->6602K(8640K)
[289.832s][info][gc          ] GC(113) Pause Full (System.gc()) 171M->171M(4088M) 1355.585ms
After GCs... 
