Done; will start GCs... 
[633.046s][info][gc          ] GC(120) Pause Full (System.gc()) 195M->195M(3959M) 5259.337ms
[638.314s][info][gc,metaspace] GC(121) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[638.314s][info][gc          ] GC(121) Pause Full (System.gc()) 195M->195M(3959M) 5267.117ms
[643.576s][info][gc,metaspace] GC(122) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[643.576s][info][gc          ] GC(122) Pause Full (System.gc()) 195M->195M(3959M) 5261.119ms
[648.837s][info][gc,metaspace] GC(123) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[648.837s][info][gc          ] GC(123) Pause Full (System.gc()) 196M->195M(3959M) 5260.421ms
[654.093s][info][gc,metaspace] GC(124) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[654.093s][info][gc          ] GC(124) Pause Full (System.gc()) 195M->195M(3959M) 5255.471ms
[659.357s][info][gc,metaspace] GC(125) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[659.357s][info][gc          ] GC(125) Pause Full (System.gc()) 195M->195M(3959M) 5263.481ms
[664.621s][info][gc,metaspace] GC(126) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[664.622s][info][gc          ] GC(126) Pause Full (System.gc()) 195M->195M(3959M) 5263.217ms
[669.884s][info][gc,metaspace] GC(127) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[669.884s][info][gc          ] GC(127) Pause Full (System.gc()) 195M->195M(3959M) 5261.598ms
[675.141s][info][gc,metaspace] GC(128) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[675.141s][info][gc          ] GC(128) Pause Full (System.gc()) 195M->195M(3959M) 5256.257ms
[680.405s][info][gc,metaspace] GC(129) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[680.405s][info][gc          ] GC(129) Pause Full (System.gc()) 195M->195M(3959M) 5263.829ms
[685.666s][info][gc,metaspace] GC(130) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[685.667s][info][gc          ] GC(130) Pause Full (System.gc()) 195M->195M(3959M) 5260.332ms
[690.929s][info][gc,metaspace] GC(131) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[690.929s][info][gc          ] GC(131) Pause Full (System.gc()) 195M->195M(3959M) 5261.513ms
[696.186s][info][gc,metaspace] GC(132) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[696.187s][info][gc          ] GC(132) Pause Full (System.gc()) 195M->195M(3959M) 5256.934ms
[701.448s][info][gc,metaspace] GC(133) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[701.448s][info][gc          ] GC(133) Pause Full (System.gc()) 195M->195M(3959M) 5261.015ms
[706.710s][info][gc,metaspace] GC(134) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[706.710s][info][gc          ] GC(134) Pause Full (System.gc()) 195M->195M(3959M) 5261.511ms
[711.975s][info][gc,metaspace] GC(135) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[711.975s][info][gc          ] GC(135) Pause Full (System.gc()) 196M->195M(3959M) 5263.891ms
[717.233s][info][gc,metaspace] GC(136) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[717.234s][info][gc          ] GC(136) Pause Full (System.gc()) 195M->195M(3959M) 5257.998ms
[722.499s][info][gc,metaspace] GC(137) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[722.500s][info][gc          ] GC(137) Pause Full (System.gc()) 195M->195M(3959M) 5265.453ms
[727.762s][info][gc,metaspace] GC(138) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[727.762s][info][gc          ] GC(138) Pause Full (System.gc()) 195M->195M(3959M) 5262.077ms
[733.025s][info][gc,metaspace] GC(139) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[733.025s][info][gc          ] GC(139) Pause Full (System.gc()) 195M->195M(3959M) 5261.797ms
[738.285s][info][gc,metaspace] GC(140) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[738.285s][info][gc          ] GC(140) Pause Full (System.gc()) 195M->195M(3959M) 5259.430ms
[743.550s][info][gc,metaspace] GC(141) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[743.550s][info][gc          ] GC(141) Pause Full (System.gc()) 195M->195M(3959M) 5264.298ms
[748.813s][info][gc,metaspace] GC(142) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[748.813s][info][gc          ] GC(142) Pause Full (System.gc()) 195M->195M(3959M) 5262.552ms
[754.079s][info][gc,metaspace] GC(143) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[754.079s][info][gc          ] GC(143) Pause Full (System.gc()) 195M->195M(3959M) 5265.320ms
[759.339s][info][gc,metaspace] GC(144) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[759.340s][info][gc          ] GC(144) Pause Full (System.gc()) 195M->195M(3959M) 5259.745ms
[764.606s][info][gc,metaspace] GC(145) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[764.607s][info][gc          ] GC(145) Pause Full (System.gc()) 195M->195M(3959M) 5265.171ms
[769.868s][info][gc,metaspace] GC(146) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[769.868s][info][gc          ] GC(146) Pause Full (System.gc()) 195M->195M(3959M) 5260.467ms
[775.134s][info][gc,metaspace] GC(147) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[775.134s][info][gc          ] GC(147) Pause Full (System.gc()) 196M->195M(3959M) 5265.338ms
[780.395s][info][gc,metaspace] GC(148) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[780.395s][info][gc          ] GC(148) Pause Full (System.gc()) 195M->195M(3959M) 5260.297ms
[785.664s][info][gc,metaspace] GC(149) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[785.665s][info][gc          ] GC(149) Pause Full (System.gc()) 195M->195M(3959M) 5268.969ms
[790.930s][info][gc,metaspace] GC(150) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[790.930s][info][gc          ] GC(150) Pause Full (System.gc()) 195M->195M(3959M) 5264.441ms
[796.192s][info][gc,metaspace] GC(151) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[796.192s][info][gc          ] GC(151) Pause Full (System.gc()) 195M->195M(3959M) 5261.928ms
[801.455s][info][gc,metaspace] GC(152) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[801.455s][info][gc          ] GC(152) Pause Full (System.gc()) 195M->195M(3959M) 5261.463ms
[806.718s][info][gc,metaspace] GC(153) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[806.718s][info][gc          ] GC(153) Pause Full (System.gc()) 195M->195M(3959M) 5262.933ms
[811.978s][info][gc,metaspace] GC(154) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[811.978s][info][gc          ] GC(154) Pause Full (System.gc()) 195M->195M(3959M) 5259.501ms
[817.242s][info][gc,metaspace] GC(155) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[817.242s][info][gc          ] GC(155) Pause Full (System.gc()) 195M->195M(3959M) 5263.022ms
[822.502s][info][gc,metaspace] GC(156) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[822.502s][info][gc          ] GC(156) Pause Full (System.gc()) 195M->195M(3959M) 5258.705ms
[827.768s][info][gc,metaspace] GC(157) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[827.768s][info][gc          ] GC(157) Pause Full (System.gc()) 195M->195M(3959M) 5265.458ms
[833.029s][info][gc,metaspace] GC(158) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[833.029s][info][gc          ] GC(158) Pause Full (System.gc()) 195M->195M(3959M) 5260.401ms
[838.292s][info][gc,metaspace] GC(159) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[838.292s][info][gc          ] GC(159) Pause Full (System.gc()) 196M->195M(3959M) 5262.610ms
[843.547s][info][gc,metaspace] GC(160) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[843.547s][info][gc          ] GC(160) Pause Full (System.gc()) 195M->195M(3959M) 5253.667ms
After GCs... 
